Date,CA,Alameda,Amador,Butte,Calaveras,Contra-Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Kern,Kings,Lake,Lassen,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Tulare,Tuolumne,Ventura,Yolo,Yuba,Los Angeles Metropolitan Area,S.F. Bay Area,Inland Empire
Jan-16,467160.0,700000.0,215500.0,260000.0,258750.0,500000.0,157000.0,405000.0,216000.0,159975.0,247800.0,215000.0,190000.0,235000.0,105000.0,480950.0,227500.0,952500.0,279000.0,355000.0,193950.0,475000.0,500000.0,584500.0,339500.0,699900.0,405000.0,342000.0,328000.0,281000.0,480000.0,234460.0,530000.0,1160000.0,290000.0,540000.0,1077500.0,748000.0,895000.0,694500.0,226250.0,195000.0,354000.0,550000.0,245000.0,213700.0,190000.0,195000.0,210000.0,638590.0,345000.0,210000.0,434000.0,690000.0,291920.0
Feb-16,444780.0,715000.0,275000.0,264960.0,262500.0,529000.0,175000.0,422000.0,214250.0,197500.0,265540.0,220000.0,205000.0,190000.0,135000.0,444410.0,219920.0,1141400.0,264250.0,382500.0,199000.0,282450.0,497980.0,650000.0,295950.0,705000.0,417000.0,269000.0,330000.0,299000.0,464500.0,226870.0,523500.0,1410000.0,295000.0,518000.0,1200000.0,735000.0,942500.0,794500.0,212250.0,168000.0,361500.0,540000.0,250000.0,230000.0,170750.0,190000.0,256500.0,610820.0,379500.0,225000.0,429980.0,698950.0,290270.0
Mar-16,484120.0,758000.0,307000.0,286810.0,270000.0,548780.0,199000.0,435010.0,231000.0,196000.0,280000.0,220000.0,205000.0,242450.0,112000.0,441700.0,219500.0,1187500.0,227500.0,379000.0,185000.0,580000.0,490000.0,650000.0,364900.0,720200.0,405000.0,225000.0,350000.0,305000.0,495000.0,237350.0,550000.0,1355000.0,295000.0,550000.0,1205000.0,569000.0,1065000.0,790000.0,222250.0,151000.0,370000.0,560000.0,262000.0,232000.0,189500.0,198000.0,244900.0,620020.0,362500.0,235450.0,448420.0,761090.0,309890.0
Apr-16,509240.0,800000.0,235000.0,272750.0,276000.0,565000.0,315000.0,432000.0,229000.0,225000.0,277500.0,215600.0,202000.0,240500.0,152950.0,457180.0,215000.0,1200000.0,235000.0,331000.0,205000.0,316500.0,529900.0,629980.0,327500.0,735000.0,429500.0,277000.0,350000.0,309000.0,479000.0,236850.0,557000.0,1400000.0,300500.0,535000.0,1312500.0,725000.0,1085000.0,775500.0,223950.0,166000.0,380000.0,569000.0,265000.0,232000.0,184000.0,207250.0,253750.0,630100.0,419000.0,240000.0,460940.0,831180.0,310840.0
May-16,519930.0,828000.0,268500.0,271000.0,287500.0,595000.0,189500.0,429500.0,232000.0,175000.0,270000.0,225000.0,215000.0,238000.0,134450.0,467290.0,213500.0,1237500.0,299000.0,330000.0,223500.0,585000.0,540000.0,645770.0,354000.0,731750.0,427000.0,225000.0,355000.0,317950.0,479000.0,245080.0,565000.0,1360000.0,320000.0,540000.0,1392500.0,689000.0,1100000.0,800000.0,229000.0,175000.0,385500.0,580000.0,265000.0,235000.0,170000.0,205000.0,242500.0,617740.0,398000.0,225000.0,469090.0,848580.0,315980.0
Jun-16,518980.0,803000.0,319000.0,275000.0,315000.0,625000.0,198750.0,461550.0,241000.0,205000.0,284000.0,239700.0,207000.0,259000.0,166000.0,502190.0,230380.0,1218500.0,264000.0,350000.0,213500.0,664250.0,537000.0,619000.0,352000.0,754000.0,430000.0,270000.0,360000.0,329000.0,511500.0,245220.0,560000.0,1350000.0,315000.0,525000.0,1306250.0,742000.0,1050000.0,800000.0,243000.0,215000.0,390000.0,608000.0,276000.0,251000.0,235000.0,210000.0,245000.0,662500.0,399900.0,250000.0,473670.0,841960.0,319100.0
Jul-16,511420.0,800000.0,275000.0,288750.0,291000.0,625000.0,201280.0,425000.0,235700.0,225000.0,307900.0,233500.0,215000.0,245250.0,165000.0,513700.0,233000.0,1150000.0,270000.0,345000.0,215000.0,534600.0,539750.0,634380.0,359000.0,734000.0,435000.0,245000.0,359900.0,320000.0,485000.0,248000.0,560000.0,1362500.0,308500.0,549000.0,1350000.0,583800.0,1045000.0,756500.0,229450.0,214000.0,381000.0,572500.0,270000.0,275000.0,184000.0,215000.0,245000.0,615000.0,389000.0,254500.0,465000.0,810510.0,317950.0
Aug-16,527490.0,775000.0,257500.0,264120.0,310000.0,570000.0,174500.0,425000.0,239000.0,230500.0,290000.0,220000.0,209220.0,234500.0,185000.0,520400.0,245000.0,1200000.0,311500.0,362500.0,220000.0,532500.0,515000.0,625000.0,343000.0,749000.0,430000.0,275000.0,355000.0,323500.0,538380.0,240500.0,563000.0,1257500.0,325000.0,535000.0,1250000.0,775000.0,975000.0,824000.0,248000.0,204500.0,410000.0,585000.0,272750.0,267410.0,202000.0,204900.0,266450.0,609000.0,410480.0,249900.0,473300.0,777160.0,316630.0
Sep-16,516450.0,760000.0,243500.0,275000.0,285000.0,549900.0,239500.0,419000.0,240000.0,220500.0,290000.0,215000.0,197000.0,220000.0,161090.0,550705.0,240000.0,1165000.0,332500.0,370000.0,214000.0,465000.0,566500.0,650000.0,348700.0,739000.0,430240.0,278500.0,352250.0,317500.0,527500.0,251750.0,569000.0,1218750.0,322000.0,574750.0,1290000.0,732500.0,1000000.0,774500.0,239000.0,192000.0,389500.0,590000.0,270000.0,247500.0,219000.0,209900.0,242500.0,583800.0,407000.0,245000.0,463330.0,770150.0,319350.0
Oct-16,513520.0,775000.0,276500.0,293000.0,300050.0,535650.0,264500.0,419000.0,240000.0,185050.0,305000.0,227000.0,217000.0,262500.0,142500.0,536760.0,225000.0,1225000.0,267250.0,360000.0,233250.0,379000.0,499900.0,618250.0,360000.0,750000.0,436000.0,215000.0,355950.0,320000.0,506000.0,245000.0,576620.0,1407500.0,320000.0,538500.0,1350000.0,595000.0,1047500.0,799900.0,249000.0,182500.0,392500.0,595000.0,280000.0,250500.0,163000.0,205000.0,221000.0,599000.0,381250.0,236000.0,464110.0,803190.0,314210.0
