AID CODE,AID CODE NAME,BENEFITS,ELIGIBILITY GROUP,SHORT DESCRIPTION,GROUP CODE,TYPE,FEDERAL CATEGORY,"MEDICAID 
OR CHIP","SOCIAL SECURITY ACT 
CITATION","CODE OF FEDERAL REGULATIONS
CITATION"
01,Refugee Resettlement Program (RRP) - Refugee Cash Assistance (RCA) - First 8 months,Full Scope (No SOC),N/A - do not report,Refugee Resettlement Program (RRP) - Refugee Cash Assistance (RCA) - First 8 months,-,N/A,N/A,N/A,N/A,N/A
02,Refugee Resettlement Program (RRP) - Refugee Medical Assistance (RMA)/Entrant Medical Assistance (EMA),Full Scope (SOC/No SOC),N/A - do not report,Refugee Resettlement Program (RRP) - Refugee Medical Assistance (RMA)/Entrant Medical Assistance,-,N/A,N/A,N/A,N/A,N/A
03,Adoption Assistance Program (AAP),Full Scope (No SOC),"Children with Title IV-E Adoption Assistance, Foster Care or Guardianship Care",Individuals for whom an adoption assistance agreement is in effect or foster care or kinship guardianship assistance Maintenance payments are made under Title IV-E of the Act.,8,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I),42 CFR 435.145
04,Adoption Assistance Program (AAP)/Aid for Adoption of Children (AAC),Full Scope (No SOC),Children with Non-IV-E Adoption Assistance,"Children with special needs for whom there is a non-IV-E adoption assistance agreement in effect with a state, who either were eligible for Medicaid or had income at or below a standard established by the state.",29,Family/Adult,Optional  ,Medicaid,1902(a)(10)(A)(ii)(VIII),42 CFR 435.227
05,SED Children,No Medi-Cal Benefits,Not Medi-Cal,N/A,-,N/A,N/A,N/A,N/A,N/A
06,Adoption Assistance Program (AAP) - Child,Full Scope (No SOC),"Children with Title IV-E Adoption Assistance, Foster Care or Guardianship Care",Individuals for whom an adoption assistance agreement is in effect or foster care or kinship guardianship assistance Maintenance payments are made under Title IV-E of the Act.,8,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I),42 CFR 435.145
07,Adoption Assistance Program (AAP) - Title IV-E Extended,Full Scope (No SOC),"Children with Title IV-E Adoption Assistance, Foster Care or Guardianship Care",Individuals for whom an adoption assistance agreement is in effect or foster care or kinship guardianship assistance Maintenance payments are made under Title IV-E of the Act.,8,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I),42 CFR 435.145
08,Entrant Cash Assistance (ECA) - Cuban Haitian Entrants 8 month,Full Scope (No SOC),N/A - do not report,Entrant Cash Assistance (ECA) - Cuban Haitian Entrants 8 month,-,N/A,N/A,N/A,N/A,N/A
09,CalFresh,No Medi-Cal Benefits,Not Medi-Cal,N/A,-,N/A,N/A,N/A,N/A,N/A
10,Aged - Supplemental Security Income/State Supplementary Payment (SSI/SSP),Full Scope (No SOC),Individuals Receiving SSI,"Individuals who are aged, blind or disabled who receive SSI.",11,ABD,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(II)(aa),42 CFR 435.120
11,Aged - Social Services Only,No Medi-Cal Benefits,Not Medi-Cal,N/A,-,N/A,N/A,N/A,N/A,N/A
12,Aged - Special Circumstance,No Medi-Cal Benefits,Not Medi-Cal,N/A,-,N/A,N/A,N/A,N/A,N/A
13,Aged - Long Term Care (LTC) Medically Needy (MN),Full Scope (SOC/No SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),42 CFR 435.320
14,Aged - Medically Needy (MN),Full Scope (No SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),42 CFR 435.320
16,Aged - Pickle Eligible,Full Scope (No SOC),Individuals Who Would be Eligible for SSI/SSP but for OASDI COLA increases since 1977,"Individuals who are receiving OASDI and became ineligible for SSI/SSP after April, 1977, who would continue to be eligibile if the cost of living increases in OASDI since their last month of eligibility for SSI/SSP/OASDI were deducted from income.",18,ABD,Mandatory  ,Medicaid,N/A,42 CFR 435.135
17,Aged - Medically Needy (MN),Full Scope (SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),42 CFR 435.320
18,Aged - In Home Supportive Services (IHSS) - (Deactivated Aid Code),Full Scope (No SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),42 CFR 435.320
20,Blind - Supplemental Security Income/State Supplementary Payment (SSI/SSP),Full Scope (No SOC),Individuals Receiving SSI,"Individuals who are aged, blind or disabled who receive SSI.",11,ABD,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(II)(aa),42 CFR 435.120
21,Blind - Social Services Only,No Medi-Cal Benefits,Not Medi-Cal,N/A,-,N/A,N/A,N/A,N/A,N/A
22,Blind - Special Circumstance,No Medi-Cal Benefits,Not Medi-Cal,N/A,-,N/A,N/A,N/A,N/A,N/A
23,Blind - Long Term Care (LTC) Medically Needy (MN) ,Full Scope (SOC/No SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),42 CFR 435.322
24,Blind - Medically Needy (MN),Full Scope (No SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),42 CFR 435.322
26,Blind - Pickle Eligible,Full Scope (No SOC),Individuals Who Would be Eligible for SSI/SSP but for OASDI COLA increases since 1977,"Individuals who are receiving OASDI and became ineligible for SSI/SSP after April, 1977, who would continue to be eligibile if the cost of living increases in OASDI since their last month of eligibility for SSI/SSP/OASDI were deducted from income.",18,ABD,Mandatory  ,Medicaid,N/A,42 CFR 435.135
27,Blind - Medically Needy (MN),Full Scope (SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),42 CFR 435.322
