,AID CODE,AID CODE NAME,BENEFITS,ELIGIBILITY GROUP,SHORT DESCRIPTION,GROUP CODE,TYPE,FEDERAL CATEGORY,"MEDICAID 
OR CHIP","SOCIAL SECURITY ACT 
CITATION","CODE OF FEDERAL REGULATIONS
CITATION"
2,03,Adoption Assistance Program (AAP),Full Scope (No SOC),"Children with Title IV-E Adoption Assistance, Foster Care or Guardianship Care",Individuals for whom an adoption assistance agreement is in effect or foster care or kinship guardianship assistance Maintenance payments are made under Title IV-E of the Act.,8,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I),42 CFR 435.145
3,04,Adoption Assistance Program (AAP)/Aid for Adoption of Children (AAC),Full Scope (No SOC),Children with Non-IV-E Adoption Assistance,"Children with special needs for whom there is a non-IV-E adoption assistance agreement in effect with a state, who either were eligible for Medicaid or had income at or below a standard established by the state.",29,Family/Adult,Optional  ,Medicaid,1902(a)(10)(A)(ii)(VIII),42 CFR 435.227
5,06,Adoption Assistance Program (AAP) - Child,Full Scope (No SOC),"Children with Title IV-E Adoption Assistance, Foster Care or Guardianship Care",Individuals for whom an adoption assistance agreement is in effect or foster care or kinship guardianship assistance Maintenance payments are made under Title IV-E of the Act.,8,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I),42 CFR 435.145
6,07,Adoption Assistance Program (AAP) - Title IV-E Extended,Full Scope (No SOC),"Children with Title IV-E Adoption Assistance, Foster Care or Guardianship Care",Individuals for whom an adoption assistance agreement is in effect or foster care or kinship guardianship assistance Maintenance payments are made under Title IV-E of the Act.,8,Family/Adult,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(I),42 CFR 435.145
9,10,Aged - Supplemental Security Income/State Supplementary Payment (SSI/SSP),Full Scope (No SOC),Individuals Receiving SSI,"Individuals who are aged, blind or disabled who receive SSI.",11,ABD,Mandatory  ,Medicaid,1902(a)(10)(A)(i)(II)(aa),42 CFR 435.120
12,13,Aged - Long Term Care (LTC) Medically Needy (MN),Full Scope (SOC/No SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),42 CFR 435.320
13,14,Aged - Medically Needy (MN),Full Scope (No SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),42 CFR 435.320
14,16,Aged - Pickle Eligible,Full Scope (No SOC),Individuals Who Would be Eligible for SSI/SSP but for OASDI COLA increases since 1977,"Individuals who are receiving OASDI and became ineligible for SSI/SSP after April, 1977, who would continue to be eligibile if the cost of living increases in OASDI since their last month of eligibility for SSI/SSP/OASDI were deducted from income.",18,ABD,Mandatory  ,Medicaid,0,42 CFR 435.135
15,17,Aged - Medically Needy (MN),Full Scope (SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),42 CFR 435.320
16,18,Aged - In Home Supportive Services (IHSS) - (Deactivated Aid Code),Full Scope (No SOC),"Medically Needy Aged, Blind or Disabled","Individuals who are age 65 or older, blind or disabled, who are not eligible as categorically needy, who meet income and resource standards specified by the State, or who meet the income standard using medical and remedial care expenses to offset excess income.",59,ABD,Medically Needy  ,Medicaid,1902(a)(10)(C),42 CFR 435.320
