Date,Facility Type,Facility Name,License Number,County,Staff: Confirmed COVID-19 (CUMULATIVE),Residents/Clients: Confirmed COVID-19 (CUMULATIVE),Staff: COVID-Related Deaths (CUMULATIVE),Residents/Clients: COVID-Related Deaths (CUMULATIVE),Annotaion Code,Annotation Code Description
3/12/2021,Substance Use Disorder - Residential,Cherry Hill Detoxification Center ,010001DN,Alameda,0,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,EBCRP Residential Program ,010003BN,Alameda,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,C.U.R.A. Inc.,010010AN,Alameda,0,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,"New Bridge Foundation, Inc.",010013AN,Alameda,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Skyway House,040006NN,Butte,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,The Lakes Treatment Center,050005AP,Calaveras,,15,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Diablo Valley Ranch,070001AN,Contra Costa,13,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Pueblos Del Sol,070001CN,Contra Costa,0,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,East County Women's Recovery Center/East County Wollam,070001ZN,Contra Costa,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Discovery House,070012BN,Contra Costa,0,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,New Start Recovery Solutions,070048AP,Contra Costa,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Progress House Men's Facility,090002AN ,El Dorado,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,WestCare California,100010FN,Fresno,0,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Turning Point Quest House,100028EN,Fresno,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Fresno First,100042CN,Fresno,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Herndon Recovery Center ,100074CP,Fresno,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,"Humboldt Recovery Center, Incorporated",120001AN,Humboldt,0,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Jason’s Retreat/Capistrano Community for Women,150004AN,Kern,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Capistrano Lincoln Street Retreat,150004GN,Kern,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Ken Kennemer Substance Abuse Treatment Center,150013BN,Kern,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Samuel's House,160005CN,Kings,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,H.O.M.E. - Tule House,170014AN,Lake,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Antelope Valley,190001AN,Los Angeles,0,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Outpatient,Alcolholism Center for Women,190002AN,Los Angeles,0,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Alcoholism Center for Women,190002BN,Los Angeles,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,San Fernando Recovery Center,190003AP,Los Angeles,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Beacon House,190006AN,Los Angeles,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Outpatient,Behavioral Health Services,190007CN,Los Angeles,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Outpatient,"Behavioral Health Services, Inc. ",190007LN,Los Angeles,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,"Behavioral Health Services, Inc. ",190007MN,Los Angeles,0,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Outpatient,Long Beach Family Recovery Center,190007VN,Los Angeles,0,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Positive Steps,190011AFN,Los Angeles,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,La Casita de las Mamas of Downey,190011ON,Los Angeles,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Angel Step Too,190011VN,Los Angeles,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Men's Treatment Program,190016BN,Los Angeles,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Women's Treatment Program,190016FN,Los Angeles,0,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Women and Children First: Pregnant and Post-Partum Women,190016MN,Los Angeles,0,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,The Salvation Army,190023AN,Los Angeles,,12,,,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,The Salvation Army Bell Shelter,190023CN,Los Angeles,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,House of Hope,190025AN,Los Angeles,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Outpatient,"House of Hope Foundation, Inc. ",190025GN,Los Angeles,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,VOA of Central City Recovery Services,190027BN,Los Angeles,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Little House,190029AN,Los Angeles,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Sanctuary Treatment Center,190042AP,Los Angeles,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,NCADD,190049AN,Los Angeles,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Outpatient,"Iris Healing Center, LLC",190056AP,Los Angeles,0,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,"California Hispanic Commission on Alcohol and Drug Abuse, Inc. - Latinos Recovery Home",190065CN,Los Angeles,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Outpatient,Latino Family Center,190065IN,Los Angeles,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Safe Refuge,190077AHN,Los Angeles,0,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Outpatient,Safe Refuge,190077CN,Los Angeles,,15,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Stepping Stones,190081IN,Los Angeles,0,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Royal Palms Recovery Home,190081JN,Los Angeles,0,,0,0,1,suppressed due to small number
