Facility Name,Address,County,City,Zip,Phone,Fax,Facility ID,Operator,Certificate Number,Number of Beds,Assisted Living Program Beds,Assisted Living Residence (ALR) Beds,Enhanced ALR Beds,Special Needs ALR Beds,Type,Classification,Regional Office,Location
Atria Crossgate,140 Washington Avenue Extension,Albany,Albany,12203,(518) 869-0211,(518) 869-0269,AF0113B,"ATR New York LH, Inc.",000-S-009,83,0,0,0,0,EHP,PPHA,CDRO,"140 Washington Avenue Extension
Albany, NY 12203
(42.69509918400007, -73.84995487799995)"
Atria Shaker,345 Northern Boulevard,Albany,Albany,12204,(518) 465-4444,(518) 465-2127,AF0016B,"ATR New York LH, Inc.",000-S-011,146,0,0,0,0,EHP,PPHA,CDRO,"345 Northern Boulevard
Albany, NY 12204
(42.672300687000075, -73.75194962199998)"
Atria Delmar Place,467 Delaware Ave,Albany,Delmar,12054,(518) 434-4663,(518) 434-4660,AF0622B,"ATR New York LH, Inc.",000-S-008,106,0,106,0,0,EHP,PPHA,CDRO,"467 Delaware Ave
Delmar, NY 12054
(42.618842562000054, -73.84224883399997)"
Massry Residence at Daughters of Sarah,182 Washington Ave. Extension,Albany,Albany,12203,(518) 689-0453,(518) 689-0454,AF0591A,"Daughters of Sarah Housing Company, Inc.",000-S-006,70,0,70,25,0,EHP,NFP,CDRO,"182 Washington Ave. Extension
Albany, NY 12203
(42.70037606900007, -73.85195383999996)"
Terrace at Beverwyck,41 Beverwyck Lane,Albany,Slingerlands,12159,(518) 459-4062,(518) 482-0106,AF0122A,"Beverwyck, Inc.",000-S-005,48,0,0,0,0,EHP,NFP,CDRO,"41 Beverwyck Lane
Slingerlands, NY 12159
(42.65882496300003, -73.83643341299995)"
Promenade at University Place,1228 Western Avenue,Albany,Albany,12203,(518) 514-9500,(518) 514-9400,AF0903A,Promenade Albany LLC,000-F-315,200,160,200,40,32,AH/ALP,PPHA,CDRO,"1228 Western Avenue
Albany, NY 12203
(42.67804925200005, -73.82823758399996)"
Elderwood Village at Colonie,626 Watervliet-Shaker Road,Albany,Latham,12110,(518) 783-8695,(518) 783-5459,AF0032D,"626 Watervliet Shaker Road Operating Company, LLC",000-F-314,94,0,0,0,0,AH,PPHA,CDRO,"626 Watervliet-Shaker Road
Latham, NY 12110
(42.73732152800005, -73.76907284499998)"
Peregrine Senior Living at Colonie,5 South Family Drive,Albany,Colonie,12205,(518) 456-4500,(518) 456-5016,AF0753A,"Peregrine Senior Living of Colonie, LLC",000-F-312,68,0,68,10,68,AH,PPHA,CDRO,"5 South Family Drive
Colonie, NY 12205
(42.73493663200003, -73.82219666299994)"
Atria Guilderland,300 Mill Rose Court,Albany,Slingerlands,12159,(518) 218-0506,(518) 218-0164,AF0614C,"ATR New York LH, Inc.",000-F-308,120,0,120,26,21,AH,PPHA,CDRO,"300 Mill Rose Court
Slingerlands, NY 12159
(42.68517269900008, -73.90415243599995)"
"Millview of Latham, LLC",514 Old Loudon Road,Albany,Cohoes,12047,(518) 785-7788,(518) 785-2745,AF0018B,"Millview of Latham, LLC",000-F-294,55,0,55,0,0,AH,PPHA,CDRO,"514 Old Loudon Road
Cohoes, NY 12047
(42.78786315200006, -73.73984781199994)"
Marjorie Doyle Rockwell Center,18 Pasinella Way,Albany,Cohoes,12047,(518) 238-4150,(518) 238-4195,AF0077A,"Marjorie Doyle Rockwell Center, Inc.",000-E-283,52,0,52,0,52,AH,NFP,CDRO,"18 Pasinella Way
Cohoes, NY 12047
(42.77535151500007, -73.72533338799997)"
Kenwood Manor,141 Rockefeller Road,Albany,Delmar,12054,(518) 439-8899,(518) 475-1690,AF0048A,"Kenwood Manor, Inc.",000-E-282,67,0,0,0,0,AH,NFP,CDRO,"141 Rockefeller Road
Delmar, NY 12054
(42.62514532300003, -73.80298852999994)"
Loudonville Assisted Living Residence,298 Albany Shaker Road,Albany,Loudonville,12211,(518) 463-4398,(518) 463-4409,AF0074B,"Westmere Home for Adults, LLC",000-F-304,105,0,105,27,18,AH,PPHA,CDRO,"298 Albany Shaker Road
Loudonville, NY 12211
(42.68247767500003, -73.75922208099996)"
Manor Hills,4192-B Bolivar Road,Allegany,Wellsville,14895,(585) 593-9800,(585) 593-4605,AF0528B,Manor Hills Inc.,010-F-017,137,0,137,0,22,AH,PPHA,WRO,"4192-B Bolivar Road
Wellsville, NY 14895
(42.12660380700004, -77.96727503599999)"
St. Vincent de Paul Assisted Living Program,900 Interval Avenue,Bronx,Bronx,10459,(917) 645-9200,(917) 645-9214,AF0699A,St. Vincent de Paul Residence/Catholic Health Care System,020-E-133,59,59,0,0,0,AH/ALP,NFP,MARO,"900 Interval Avenue
Bronx, NY 10459
(40.81921517400008, -73.89622162199998)"
The New Jewish Home University Avenue Assisted Living,2553 University Avenue,Bronx,Bronx,10468,(347) 418-4270,(347) 418-4271,AF0714A,"Jewish Home Lifecare, University Avenue Assisted Living",020-S-003,72,72,0,0,0,EHP/ALP,NFP,MARO,"2553 University Avenue
Bronx, NY 10468
(40.86702291800003, -73.90206347399999)"
Atria Riverdale,3718-3726 Henry Hudson Parkway,Bronx,Riverdale,10463,(718) 432-2448,(718) 432-2447,AF0827A,"ATR New York LH, Inc.",020-S-001,195,0,195,55,40,EHP,PPHA,MARO,"3718-3726 Henry Hudson Parkway
Riverdale, NY 10463
(40.888387143000045, -73.91012654699995)"
