Name,Identification,Sex,Sort
"Porter, Joseph",Young men. 16 years old,M,1
"Porter, Sam:",Young men. 16 years old,M,2
"Preston, Jno.",Young men. 16 years old,M,3
"Porter, Nath.",Young men. 16 years old,M,4
"Swinnerton, Ben:",Young men. 16 years old,M,5
"Buxton, Jno.",Young men. 16 years old,M,6
"Buxton, Jos:",Young men. 16 years old,M,7
"Porter, Will:",Young men. 16 years old,M,8
"Andrew, Dan:",Young men. 16 years old,M,9
"Ingersoll, Jno.",Young men. 16 years old,M,10
"Porter, Ely",Young men. 16 years old,M,11
"Nurse, Sam:",Young men. 16 years old,M,12
"Byshop, Sam:",Young men. 16 years old,M,13
"Byshop, Jonath:",Young men. 16 years old,M,14
"Byshop, David",Young men. 16 years old,M,15
"Buckley, Will:",Young men. 16 years old,M,16
"Byshop, Will:",Young men. 16 years old,M,17
"Holton, Jos: [Sr]",Householder,M,18
"Swinnerton, Job",Householder,M,19
"Nurse, Francis",Householder,M,20
"Porter, Jos:",Householder,M,21
"Hutchinson, Jos: [Sr]",Householder,M,22
"Andrew, Dan:",Householder,M,23
"Swinnerton, Jos:",Householder,M,24
"Preston, Tho:",Householder,M,25
"Buxton, Jno.",Householder,M,26
"Osburn, Alex:",Householder,M,27
"Holton, Jos: [Jr]",Householder,M,28
"Rea, Josh: [Jr]",Householder,M,29
"Kenny, Henry",Householder,M,30
"Wilkins, Tho: [Jr]",Householder,M,31
"Martin, Jno.",Householder,M,32
"Hutchinson, Jos: [Jr]",Householder,M,33
"Braybrook, Sam:",Householder,M,34
"Smith, Abr:",Householder,M,35
"Pope, Joseph",Householder,M,36
"Raiment, Tho:",Householder,M,37
"Byshop, Edw.",Householder,M,38
"Putnam, Jos:",Householder,M,39
"Needom, Isaac",Householder,M,40
"Flint, Jos:",Householder,M,41
"Upton, Sam:",Householder,M,42
"Upton, Will:",Householder,M,43
"Holten, Jno.",Householder,M,44
"Flint, Jno.",Householder,M,45
"Buckley, Will:",Householder,M,46
"Rea, Josh: [Sr]",[Church] Member,M,47
"Tarbell, Jno.",[Church] Member,M,48
"Wilkins, Tho:",[Church] Member,M,49
"Fuller, Tho:",[Church] Member,M,50
"Nurse, Sam:",[Church] Member,M,51
"Herrick, Joseph",[Church] Member,M,52
"Holton, Sarah",[Church] Member,F,53
"Hutchinson, Lydia",[Church] Member,F,54
"Buckley, Sarah",[Church] Member,F,55
"Swinnerton, Esther",[Church] Member,F,56
"Swinnerton, Mary",[Church] Member,F,57
"Wilkins, Hanah",[Church] Member,F,58
"Herrick, Mary",[Church] Member,F,59
"Tarbell, Mary",[Church] Member,F,60
"Nurse, Mary",[Church] Member,F,61
"Raiment, Mary",[Church] Member,F,62
"Holt, Widow",[Church] Member,F,63
"Preston, Rebekah",Non-Member,F,64
"Andrew, Sarah",Non-Member,F,65
"Osburn, Ruth",Non-Member,F,66
"Rea, Eliz:",Non-Member,F,67
"Braybrook, Mary",Non-Member,F,68
"Martin, Bethia",Non-Member,F,69
"Smith, Mary",Non-Member,F,70
"Nichols, Joannah",Non-Member,F,71
"Putnam, Eliz:",Non-Member,F,72
"Needom, Sarah",Non-Member,F,73
"Flint, Abigail",Non-Member,F,74
"Holten, Mary",Non-Member,F,75
"Flint, Eliz:",Non-Member,F,76
"Kettel, Eliz:",Non-Member,F,77
"Porter, Eliz:",Non-Member,F,78
"Swinnerton, Eliz:",Non-Member,F,79
"Kittel, James",Free-Holder,M,82
"Porter, Ben:",Free-Holder,M,80
"Porter, Israel",Free-Holder,M,83
"Small, Will:",Free-Holder,M,81
"Swinneron, Jasper",Free-Holder,M,84
