Committee Members,Petition,Social,1685,1686,1687,1688,1689,1690,1691,1692,1693,1694,1695,1696,1697,1698,Sort
"Putnam, Lt. John [Senr]",Pro-P,Church Member,1685,1686,1687,1688,1689,,,,,,,1696,,,1
"Walcott, Jonathan",Pro-P,Householder,1685,,,,,,,,,,,,,,2
"Buxton, John",Anti-P,Householder,1685,,,,,,,,,,,,1697,,3
"Sibley, William",NoS,Householder,1685,1686,,,,,,,,,,,,,4
"Putnam, Thomas Junr",Pro-P,Church Member,1685,1686,1687,,,,,,,1694,1695,1696,1697,1698,5
"Flint, Thomas",Pro-P,Church Member,,1686,1687,1688,1689,,,,,1694,1695,,,,6
"Tarbill, John",Anti-P,Church Member,,1686,1687,,,1690,,,1693,,,,,,7
"Porter, Lt. Isarell",Anti-P,Freeholder,,,1687,,,,,,,,,,,,8
"Hutchinson, Joseph",Anti-P,Householder,,,,1688,,,1691,1692,,,,,,,9
"Andrew, Danill",Anti-P,Householder,,,,1688,,,1691,,,,,,,1698,10
"Rea, Joshua Senr",Anti-P,Church Member,,,,,1689,,,,,,,,,,11
"Putnam, Edward",Pro-P,Church Member,,,,,1689,,,,,,,,,,12
"Preston, Thomas",Anti-P,Householder,,,,,1689,,,,1693,,,,,,13
"Putnam, Lett. Natheniell",Pro-P,Church Member,,,,,,1690,,,,1694,1695,,1697,,14
"Fuller, Thomas Junr",Pro-P,Church Member,,,,,,1690,,,,1694,,,,,15
"Putnam, Jonathan",Pro-P,Church Member,,,,,,1690,,,,,,,1697,,16
"Holton, Joseph Jur",Anti-P,Householder,,,,,,1690,,,1693,,,,,,17
"Nurse, Francis",Anti-P,Householder,,,,,,,1691,,,,,,,,18
"Porter, Joseph",Anti-P,Householder,,,,,,,1691,1692,,,,,,,19
"Putnam, Joseph",Anti-P,Householder,,,,,,,1691,1692,,,,,,,20
"Willikins, Thomas",Anti-P,Church Member,,,,,,,,1692,,,,,,,21
"Godell, Zacheriah",Pro-P,Church Member,,,,,,,,1692,,,,,,1698,22
"Pope, Joseph",Anti-P,Householder,,,,,,,,,1693,,,,,,23
"Smith, James",NoS,Householder,,,,,,,,,1693,,,,,,24
"Willknes, Henry",Pro-P,Church Member,,,,,,,,,,1694,1695,,,1698,25
"Fuller, Jacob",NoS,Householder,,,,,,,,,,,1695,,,,26
"Dale, John",Pro-P,Householder,,,,,,,,,,,,1696,,,27
"Wilknes, Benjamin",Pro-P,Church Member,,,,,,,,,,,,1696,,,28
"Walcott, John",Pro-P,Householder,,,,,,,,,,,,1696,,,29
"Nurs, Samuell",Anti-P,Church Member,,,,,,,,,,,,,1697,,30
"Rayment, Thomas",Anti-P,Householder,,,,,,,,,,,,,,1698,31
