Name,Identification,Sex,Sort
"Wilkins, Jane",Householder,F,1
"Wilkins, Sarah",Householder,F,2
"Fuller, Mary",Householder,F,3
"Wilkins, Ruth",Householder,F,4
"Wilkins, Eliz:",Householder,F,5
"Richards, Mary",Householder,F,6
"Morall, Sarah",Householder,F,7
"Stacy, Hannah",Householder,F,8
"Fuller, Susan:",Householder,F,9
"Goodale, Sarah",Householder,F,10
"Walcot, Mary",Householder,F,11
"Goodale, Mary",Householder,F,12
"Goodale, Eliz:",Householder,F,13
"Hutchinson, Mary",Householder,F,14
"Walcot, Priscilla",Householder,F,15
"Allin, Eliz:",Householder,F,16
"Goodale, Mary",Householder,F,17
"Putnam, Hannah",Householder,F,18
"Lain, Abagail",Householder,F,19
"Dale, Eliz:",Householder,F,20
"Byshop, Susan:",Householder,F,21
"Ray, Ruth",Householder,F,22
"Eliot, Abagail",Householder,F,23
"Hutchinson, Jane",Householder,F,24
"Walcot, Jonath:",Householder,M,25
"Flint, Thomas",Householder,M,26
"Walcot, Jno.",Householder,M,27
"Hutchinson, Benja.",Householder,M,28
"Dale, Jno.",Householder,M,29
"Allin, Wm.",Householder,M,30
"Putnam, Jno. [III]",Householder,M,31
"Wheldon, Jno.",Householder,M,32
"Walcot, Jonath: Junr",Householder,M,33
"Goodale, Isaac",Householder,M,34
"Haines, Tho:",Householder,M,35
"Ingersoll, Geo:",Householder,M,36
"Stacy, Benja.",Householder,M,37
"Wilkins, Sam:",Householder,M,38
"Morall, Robt.",Householder,M,39
"Fuller, Jonath:",Householder,M,40
"Goodale, Zech: Junr",Householder,M,41
"Hutchinson, Jno.",Householder,M,42
"Holton, Henry",Householder,M,43
"Eliott, Francis",Householder,M,44
"Goodale, Zech: Junr",Householder,M,45
"Hadlock, Jno.",Householder,M,46
"Brown, Henry",Householder,M,47
"Putnam, Eliezar",Householder,M,48
"Rea, Jno.",Householder,M,49
"Lane, Sam:",Householder,M,50
"Prince, Jos:",Householder,M,51
"Prince, James",Householder,M,52
"Byshop, Edward [III]",Householder,M,53
"Wilkins, Bray",Church-Member,M,54
"Putnam, Nath:",Church-Member,M,55
"Putnam, Jno. Senr",Church-Member,M,56
"Griggs, Wm.",Church-Member,M,57
"Ingersoll, Nath:",Church-Member,M,58
"Wilkins, Hen:",Church-Member,M,59
"Putnam, Tho:",Church-Member,M,60
"Wilkins, Benja.",Church-Member,M,61
"Fuller, Tho: Junr",Church-Member,M,62
"Putnam, Edwd.",Church-Member,M,63
"Way, Aaron",Church-Member,M,64
"Putnam, Jonath:",Church-Member,M,65
"Walcot, Abraham",Church-Member,M,66
"Goodale, Zech: Senr",Church-Member,M,67
"Abby, Sam:",Church-Member,M,68
"Flint, Geo:",Church-Member,M,69
"Sibly, Sam:",Church-Member,M,70
"Putnam, Benja.",Church-Member,M,71
"Way, Wm.",Church-Member,M,72
"Putnam, James",Church-Member,M,73
"Cheever, Ezek:",Church-Member,M,74
"Prescot, Peter",Church-Member,M,75
"Putnam, Jno. Junr",Church-Member,M,76
"Whipple, Jos:",Church-Member,M,77
"Wilkins, Jno.",Church-Member,M,78
"Wilkins, Anna",Church-Member,F,79
"Putnam, Rebek:",Church-Member,F,80
"Griggs, Rachel",Church-Member,F,81
"Ingersoll, Han:",Church-Member,F,82
"Putnam, Han:",Church-Member,F,83
"Wilkins, Priscilla",Church-Member,F,84
"Fuller, Ruth",Church-Member,F,85
"Putnam, Mary",Church-Member,F,86
"Way, Mary",Church-Member,F,87
"Putnam, Lidia",Church-Member,F,88
"Walcot, Abagail",Church-Member,F,89
"Sibly, Mary",Church-Member,F,90
"Flint, Eliz:",Church-Member,F,91
"Putnam, Sarah",Church-Member,F,92
"Way, Percis",Church-Member,F,93
"Putnam, Sarah",Church-Member,F,94
"Cheever, Abagail",Church-Member,F,95
"Prescot, Eliz:",Church-Member,F,96
"Putnam, Han:",Church-Member,F,97
"Wheldon, Mary",Church-Member,F,98
"Walcot, Deliverance",Church-Member,F,99
"Fuller, Sarah",Church-Member,F,100
"Holton, Abagail",Church-Member,F,101
"Darlin, Mary",Church-Member,F,102
"Hadlock, Sarah",Church-Member,F,103
"Prince, Sarah",Church-Member,F,104
"Brown, Han:",Church-Member,F,105
